season,event_slug,corps_key,corps_name,caption_key,caption_name,category,score,rank
2013,2013-celebration-in-brass,001j000000h3xwcaav,Santa Clara Vanguard,GE2,General Effect 2,GE,16.4,1
2013,2013-celebration-in-brass,001j000000h3xwcaav,Santa Clara Vanguard,VP,Visual Proficiency,Visual,16.4,1
2013,2013-celebration-in-brass,001j000000h3xwcaav,Santa Clara Vanguard,VA,Visual Analysis,Visual,16.7,1
2013,2013-celebration-in-brass,001j000000h3xwcaav,Santa Clara Vanguard,CG,Color Guard,Visual,16.4,1
2013,2013-celebration-in-brass,001j000000h3xwcaav,Santa Clara Vanguard,MB,Music - Brass,Music,16,1
2013,2013-celebration-in-brass,001j000000h3xwcaav,Santa Clara Vanguard,MA,Music - Analysis,Music,16.3,1
2013,2013-celebration-in-brass,001j000000h3xwcaav,Santa Clara Vanguard,MP,Music - Percussion,Music,16.7,1
2013,2013-celebration-in-brass,001j000000i6lenaa3,Madison Scouts,GE1,General Effect 1,GE,16.3,2
2013,2013-celebration-in-brass,001j000000i6lenaa3,Madison Scouts,GE2,General Effect 2,GE,16,2
2013,2013-celebration-in-brass,001j000000i6lenaa3,Madison Scouts,VP,Visual Proficiency,Visual,16.1,2
2013,2013-celebration-in-brass,001j000000i6lenaa3,Madison Scouts,VA,Visual Analysis,Visual,16.1,2
2013,2013-celebration-in-brass,001j000000i6lenaa3,Madison Scouts,CG,Color Guard,Visual,16,2
2013,2013-celebration-in-brass,001j000000i6lenaa3,Madison Scouts,MB,Music - Brass,Music,15.5,2
2013,2013-celebration-in-brass,001j000000i6lenaa3,Madison Scouts,MA,Music - Analysis,Music,15.8,2
2013,2013-celebration-in-brass,001j000000i6lenaa3,Madison Scouts,MP,Music - Percussion,Music,15.4,2
2013,2013-celebration-in-brass,001j000000iwx93aad,Seattle Cascades,GE1,General Effect 1,GE,12.1,6
2013,2013-celebration-in-brass,001j000000iwx93aad,Seattle Cascades,GE2,General Effect 2,GE,12.5,6
2013,2013-celebration-in-brass,001j000000iwx93aad,Seattle Cascades,VP,Visual Proficiency,Visual,12.9,6
2013,2013-celebration-in-brass,001j000000iwx93aad,Seattle Cascades,VA,Visual Analysis,Visual,12.4,6
2013,2013-celebration-in-brass,001j000000iwx93aad,Seattle Cascades,CG,Color Guard,Visual,11,6
2013,2013-celebration-in-brass,001j000000iwx93aad,Seattle Cascades,MB,Music - Brass,Music,11.7,6
2013,2013-celebration-in-brass,001j000000iwx93aad,Seattle Cascades,MA,Music - Analysis,Music,12.2,6
2013,2013-celebration-in-brass,001j000000iwx93aad,Seattle Cascades,MP,Music - Percussion,Music,12.6,6
2013,2013-celebration-in-brass,001j000000iwx97aad,Colt Cadets,GE1,General Effect 1,GE,12.8,1
2013,2013-celebration-in-brass,001j000000iwx97aad,Colt Cadets,GE2,General Effect 2,GE,14.3,1
2013,2013-celebration-in-brass,001j000000iwx97aad,Colt Cadets,VP,Visual Proficiency,Visual,13.2,1
2013,2013-celebration-in-brass,001j000000iwx97aad,Colt Cadets,VA,Visual Analysis,Visual,14.3,1
2013,2013-celebration-in-brass,001j000000iwx97aad,Colt Cadets,CG,Color Guard,Visual,12.5,1
2013,2013-celebration-in-brass,001j000000iwx97aad,Colt Cadets,MB,Music - Brass,Music,13.2,1
2013,2013-celebration-in-brass,001j000000iwx97aad,Colt Cadets,MA,Music - Analysis,Music,13.6,1
2013,2013-celebration-in-brass,001j000000iwx97aad,Colt Cadets,MP,Music - Percussion,Music,11.9,1
2013,2013-celebration-in-brass,001j000000iwx98aad,Colts,GE1,General Effect 1,GE,15.8,3
2013,2013-celebration-in-brass,001j000000iwx98aad,Colts,GE2,General Effect 2,GE,14.5,4
2013,2013-celebration-in-brass,001j000000iwx98aad,Colts,VP,Visual Proficiency,Visual,14.5,4
2013,2013-celebration-in-brass,001j000000iwx98aad,Colts,VA,Visual Analysis,Visual,15.3,3
2013,2013-celebration-in-brass,001j000000iwx98aad,Colts,CG,Color Guard,Visual,14.8,4
2013,2013-celebration-in-brass,001j000000iwx98aad,Colts,MB,Music - Brass,Music,13.9,4
2013,2013-celebration-in-brass,001j000000iwx98aad,Colts,MA,Music - Analysis,Music,14.9,4
2013,2013-celebration-in-brass,001j000000iwx98aad,Colts,MP,Music - Percussion,Music,13.5,5
2013,2013-celebration-in-brass,001j000000iwxadaa1,Spirit of Atlanta,GE1,General Effect 1,GE,15,4
2013,2013-celebration-in-brass,001j000000iwxadaa1,Spirit of Atlanta,GE2,General Effect 2,GE,15.1,3
2013,2013-celebration-in-brass,001j000000iwxadaa1,Spirit of Atlanta,VP,Visual Proficiency,Visual,14.9,3
